,experiment,instance,option,batch,iter,dist_plm,dist_ple
58,force2vec,com-Youtube,VX-tdist-ns,2048,500,16745724.003883243,13730570.528997933
59,force2vec,com-Youtube,VX-tdist-ns,2048,5000,14958698.795494244,12281372.342005773
60,force2vec,com-Youtube,VX-tdist-ns,256,1000,14481655.735041052,11909053.53634138
61,force2vec,com-Youtube,VX-tdist-ns,256,2000,14745795.357387083,12137621.22601268
62,force2vec,com-Youtube,VX-tdist-ns,256,500,16565216.955175396,13620837.804803094
63,force2vec,com-Youtube,VX-tdist-ns,256,5000,15228618.979589924,12519588.565366387
64,force2vec,com-Youtube,VX-tdist-ns,262144,1000,15924028.620188795,13250786.495881198
65,force2vec,com-Youtube,VX-tdist-ns,262144,2000,16523636.42978509,13794667.493781766
66,force2vec,com-Youtube,VX-tdist-ns,262144,500,17935323.6647609,14833755.27626694
67,force2vec,com-Youtube,VX-tdist-ns,262144,5000,18388636.88724703,15422900.877685918
68,force2vec,com-Youtube,VX-tdist-ns,32768,1000,14639984.454018237,12092921.782871695
69,force2vec,com-Youtube,VX-tdist-ns,32768,2000,15316479.302691547,12631509.30401782
70,force2vec,com-Youtube,VX-tdist-ns,32768,500,16971753.90230801,13956841.046202065
71,force2vec,com-Youtube,VX-tdist-ns,32768,5000,15961284.108110655,13188553.394498654
72,force2vec,com-Youtube,VX-tdist-ns,4096,1000,14413373.040301112,11855578.17563542
73,force2vec,com-Youtube,VX-tdist-ns,4096,2000,14748284.849239238,12106110.549331184
74,force2vec,com-Youtube,VX-tdist-ns,4096,500,16695190.643681798,13731283.739693632
75,force2vec,com-Youtube,VX-tdist-ns,4096,5000,15088838.386627883,12393823.860457381
76,force2vec,com-Youtube,VX-tdist-ns,512,1000,14377343.12746793,11859704.973634694
77,force2vec,com-Youtube,VX-tdist-ns,512,2000,14736355.769750653,12102202.501010334
78,force2vec,com-Youtube,VX-tdist-ns,512,500,16639616.311195415,13673397.624224104
79,force2vec,com-Youtube,VX-tdist-ns,512,5000,15198911.488182733,12501985.16252363
80,force2vec,com-Youtube,VX-tdist-ns,65536,1000,14713123.284922292,12168801.00074913
81,force2vec,com-Youtube,VX-tdist-ns,65536,2000,15182673.65562907,12542167.090472223
82,force2vec,com-Youtube,VX-tdist-ns,65536,500,16915456.58637524,13921387.74844687
83,force2vec,com-Youtube,VX-tdist-ns,65536,5000,15776604.125770794,13036586.821880383
84,force2vec,com-Youtube,VX-tdist-ns,8192,1000,14561364.265560575,11979307.275396923
85,force2vec,com-Youtube,VX-tdist-ns,8192,2000,14893657.996755753,12247477.02666907
86,force2vec,com-Youtube,VX-tdist-ns,8192,500,16934261.788669154,13924902.48018838
87,force2vec,com-Youtube,VX-tdist-ns,8192,5000,15399567.214862328,12665595.3083591
